week_start,week,month,year,season,country,iso3,continent,latitude,longitude,disease_name,disease_category,current_cases,current_deaths,current_case_fatality_rate,cases_last_week,cases_last_2_weeks,cases_last_4_weeks,rolling_mean_4w,rolling_mean_8w,rolling_std_4w,weekly_growth_rate,weekly_death_growth_rate,trend_direction,weeks_since_last_outbreak,active_outbreak,historical_peak_cases,historical_peak_deaths,neighbouring_countries_with_active_outbreak,regional_cases,regional_growth_rate,population,population_density,future_outbreak,future_cases_4w
2024-03-04,10,3,2024,spring,China,CHN,Asia,36.585,106.0428,Acute respiratory syndrome,respiratory,300.0,5.0,0.0167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,143,0,300.0,5.0,1,419.0,7.551,1406585000.0,149.51,1,5.0
2024-03-04,10,3,2024,spring,"Congo, The Democratic Republic of the",COD,Africa,-3.7711,23.0136,Ebola virus disease,viral_haemorrhagic,57197.0,2287.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,80,0,57197.0,2287.0,3,93584.0,3742.36,112832473.0,48.35,1,0.0
2024-03-04,10,3,2024,spring,Mozambique,MOZ,Africa,-17.9126,34.8655,Cholera,enteric_diarrhoeal,15237.0,85.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54,0,15237.0,85.0,1,93584.0,3742.36,35631653.0,43.79,1,0.0
2024-03-04,10,3,2024,spring,Zambia,ZMB,Africa,-12.8494,28.0111,Cholera,enteric_diarrhoeal,13154.0,393.0,0.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,143,0,13154.0,393.0,3,93584.0,3742.36,21913874.0,29.04,1,0.0
2024-03-04,10,3,2024,spring,Angola,AGO,Africa,-10.2397,16.8405,Wild poliovirus type 1,vaccine_preventable,29.0,,,29.0,29.0,29.0,29.0,29.0,0.0,1.0,0.0,0,0,1,29.0,,1,93584.0,,39040039.0,31.24,0,0.0
